Method,Perturbation,Severity,Real source images,Synthetic variants,Top-1 Acc,Top-1 95% CI,Top-3 Acc,Top-3 95% CI
Frozen dinov2_vits14 + cosine similarity,gaussian_blur,severe,201,201,87.56%,"[83.08%, 91.54%]",97.51%,"[95.02%, 99.50%]"
Frozen dinov2_vits14 + cosine similarity,gaussian_noise,mild,201,201,91.04%,"[87.06%, 94.53%]",98.51%,"[96.52%, 100.00%]"
Frozen dinov2_vits14 + cosine similarity,gaussian_noise,moderate,201,201,86.57%,"[81.59%, 91.04%]",94.53%,"[91.04%, 97.51%]"
Frozen dinov2_vits14 + cosine similarity,gaussian_noise,severe,201,201,79.60%,"[74.12%, 84.58%]",90.05%,"[85.57%, 94.03%]"
Frozen dinov2_vits14 + cosine similarity,jpeg_compression,mild,201,201,94.03%,"[90.55%, 97.01%]",99.00%,"[97.51%, 100.00%]"
Frozen dinov2_vits14 + cosine similarity,jpeg_compression,moderate,201,201,90.55%,"[86.57%, 94.53%]",96.52%,"[94.03%, 99.00%]"
Frozen dinov2_vits14 + cosine similarity,jpeg_compression,severe,201,201,84.08%,"[79.10%, 89.05%]",94.53%,"[91.54%, 97.51%]"
Frozen dinov2_vits14 + cosine similarity,rotation,mild,201,201,91.54%,"[87.56%, 95.02%]",98.51%,"[96.52%, 100.00%]"
Frozen dinov2_vits14 + cosine similarity,rotation,moderate,201,201,86.57%,"[81.59%, 91.54%]",94.03%,"[90.55%, 97.01%]"
Frozen dinov2_vits14 + cosine similarity,rotation,severe,201,201,83.08%,"[77.61%, 88.06%]",92.54%,"[88.56%, 96.02%]"
"dinov2_vits14 + augmentation prototypes, N=30",brightness,mild,201,201,96.02%,"[93.03%, 98.51%]",99.50%,"[98.51%, 100.00%]"
"dinov2_vits14 + augmentation prototypes, N=30",color_jitter,mild,201,201,96.02%,"[93.03%, 98.51%]",99.00%,"[97.51%, 100.00%]"
"dinov2_vits14 + augmentation prototypes, N=30",contrast,mild,201,201,95.02%,"[92.04%, 98.01%]",99.50%,"[98.51%, 100.00%]"
"dinov2_vits14 + augmentation prototypes, N=30",crop_scale,mild,201,201,97.01%,"[94.53%, 99.00%]",99.00%,"[97.51%, 100.00%]"
"dinov2_vits14 + augmentation prototypes, N=30",gaussian_blur,mild,201,201,96.02%,"[93.03%, 98.51%]",99.00%,"[97.51%, 100.00%]"
"dinov2_vits14 + augmentation prototypes, N=30",gaussian_noise,mild,201,201,94.03%,"[90.55%, 97.01%]",98.01%,"[96.02%, 99.50%]"
"dinov2_vits14 + augmentation prototypes, N=30",jpeg_compression,mild,201,201,96.02%,"[93.03%, 98.51%]",99.50%,"[98.51%, 100.00%]"
"dinov2_vits14 + augmentation prototypes, N=30",rotation,mild,201,201,94.03%,"[90.55%, 97.01%]",98.01%,"[96.02%, 99.50%]"
