Model,Point type,Class,X,Y,Top-1 correct,Top-1 prediction,Image path
Frozen DINOv2 ViT-S/14,reference,Leather_37,0.32916942,-0.19617090,,,
Frozen DINOv2 ViT-S/14,reference,Leather_38,0.38325199,0.30939913,,,
Frozen DINOv2 ViT-S/14,reference,Leather_39,0.35758826,0.13532016,,,
Frozen DINOv2 ViT-S/14,reference,Leather_40,0.37763530,0.18169576,,,
Frozen DINOv2 ViT-S/14,reference,Leather_41,0.32976988,0.41891956,,,
Frozen DINOv2 ViT-S/14,reference,Leather_42,0.41748482,-0.15450439,,,
Frozen DINOv2 ViT-S/14,reference,Leather_43,0.44480729,-0.25397778,,,
Frozen DINOv2 ViT-S/14,reference,Leather_44,0.37742803,0.34856072,,,
Frozen DINOv2 ViT-S/14,reference,Leather_45,0.23354670,-0.13945888,,,
Frozen DINOv2 ViT-S/14,reference,Leather_46,0.38780278,0.09656182,,,
Frozen DINOv2 ViT-S/14,reference,Leather_47,0.36065888,-0.13927794,,,
Frozen DINOv2 ViT-S/14,reference,Leather_48,0.38965473,0.11661498,,,
Frozen DINOv2 ViT-S/14,reference,Leather_49,0.39712223,0.10049711,,,
Frozen DINOv2 ViT-S/14,reference,Leather_50,0.22904336,0.27006993,,,
Frozen DINOv2 ViT-S/14,reference,Leather_51,0.32122341,0.03023829,,,
Frozen DINOv2 ViT-S/14,reference,Leather_52,0.38200819,0.24379866,,,
Frozen DINOv2 ViT-S/14,reference,Leather_53,0.06836726,-0.48788452,,,
Frozen DINOv2 ViT-S/14,reference,Leather_54,0.31200516,-0.24495807,,,
Frozen DINOv2 ViT-S/14,reference,Leather_55,0.36280987,-0.16762599,,,
Frozen DINOv2 ViT-S/14,reference,Leather_56,0.02118918,-0.17413558,,,
Frozen DINOv2 ViT-S/14,reference,Leather_57,0.19058138,-0.37010315,,,
Frozen DINOv2 ViT-S/14,reference,Leather_58,0.18919000,-0.08423686,,,
Frozen DINOv2 ViT-S/14,reference,Leather_59,0.42657921,-0.25688988,,,
Frozen DINOv2 ViT-S/14,reference,Leather_60,0.20304038,0.07879598,,,
Frozen DINOv2 ViT-S/14,reference,Leather_61,0.08251566,-0.46072155,,,
Frozen DINOv2 ViT-S/14,reference,Leather_62,0.26373702,0.11172469,,,
Frozen DINOv2 ViT-S/14,reference,Leather_63,0.16765955,0.09715401,,,
Frozen DINOv2 ViT-S/14,reference,Leather_64,0.20801097,-0.08422376,,,
Frozen DINOv2 ViT-S/14,reference,Leather_65,0.28887165,0.16220149,,,
Frozen DINOv2 ViT-S/14,reference,Leather_66,0.30443168,0.10021675,,,
Frozen DINOv2 ViT-S/14,reference,Leather_67,0.07315899,-0.52208859,,,
Frozen DINOv2 ViT-S/14,reference,Leather_68,0.17033063,-0.53691196,,,
Frozen DINOv2 ViT-S/14,reference,Leather_69,0.07659013,-0.47548872,,,
Frozen DINOv2 ViT-S/14,reference,Leather_70,0.13870341,-0.44335756,,,
Frozen DINOv2 ViT-S/14,reference,Leather_71,0.34492633,-0.30939478,,,
Frozen DINOv2 ViT-S/14,reference,Leather_72,0.32026199,0.26441538,,,
Frozen DINOv2 ViT-S/14,reference,Leather_73,0.10848580,-0.08958863,,,
Frozen DINOv2 ViT-S/14,reference,Leather_74,0.29157662,-0.19500636,,,
Frozen DINOv2 ViT-S/14,reference,Leather_75,0.22020698,-0.57308918,,,
Frozen DINOv2 ViT-S/14,reference,Leather_76,0.07801223,0.02699263,,,
Frozen DINOv2 ViT-S/14,reference,Leather_77,0.10270427,0.01663651,,,
Frozen DINOv2 ViT-S/14,reference,Leather_78,0.09118415,-0.60399485,,,
Frozen DINOv2 ViT-S/14,reference,Leather_79,0.14086288,-0.33215994,,,
Frozen DINOv2 ViT-S/14,reference,Leather_80,0.25404894,-0.34862089,,,
Frozen DINOv2 ViT-S/14,reference,Leather_81,0.18100472,-0.51027167,,,
Frozen DINOv2 ViT-S/14,reference,Leather_82,0.22087832,-0.37051281,,,
Frozen DINOv2 ViT-S/14,reference,Leather_83,0.25218341,-0.01576214,,,
Frozen DINOv2 ViT-S/14,reference,Leather_84,0.17174903,-0.59926921,,,
Frozen DINOv2 ViT-S/14,reference,Leather_85,0.29044950,-0.32270187,,,
Frozen DINOv2 ViT-S/14,reference,Leather_86,0.38008448,-0.05783048,,,
Frozen DINOv2 ViT-S/14,reference,Leather_87,0.32728618,-0.13262337,,,
Frozen DINOv2 ViT-S/14,reference,Leather_88,0.08356895,-0.09355648,,,
Frozen DINOv2 ViT-S/14,reference,Leather_89,0.01655106,0.11061518,,,
Frozen DINOv2 ViT-S/14,reference,Leather_90,0.00866095,0.31105602,,,
Frozen DINOv2 ViT-S/14,reference,Leather_91,0.04390666,0.22028810,,,
Frozen DINOv2 ViT-S/14,reference,Leather_92,0.27994832,0.21042667,,,
Frozen DINOv2 ViT-S/14,reference,Leather_93,0.30207384,0.00142234,,,
Frozen DINOv2 ViT-S/14,reference,Leather_94,0.33201468,0.16097666,,,
Frozen DINOv2 ViT-S/14,reference,Leather_95,0.17824087,-0.05418959,,,
Frozen DINOv2 ViT-S/14,reference,Leather_96,0.29090729,0.08543515,,,
Frozen DINOv2 ViT-S/14,reference,Leather_97,0.34665856,-0.16408101,,,
Frozen DINOv2 ViT-S/14,reference,Leather_98,0.22267954,0.14565714,,,
Frozen DINOv2 ViT-S/14,reference,Leather_99,0.16491020,-0.20219274,,,
Frozen DINOv2 ViT-S/14,test,Leather_01,-0.40210861,0.06378697,True,Leather_01,my_dataset_test_filtered\Leather_01\1750406379284.jpg
Frozen DINOv2 ViT-S/14,test,Leather_02,-0.48344126,-0.00983336,True,Leather_02,my_dataset_test_filtered\Leather_02\1750406835550.jpg
Frozen DINOv2 ViT-S/14,test,Leather_03,-0.50043893,-0.03028244,True,Leather_03,my_dataset_test_filtered\Leather_03\1750406941972.jpg
Frozen DINOv2 ViT-S/14,test,Leather_04,-0.16844472,0.09291154,False,Leather_189,my_dataset_test_filtered\Leather_04\1750407130699.jpg
Frozen DINOv2 ViT-S/14,test,Leather_05,-0.39326686,0.13871670,False,Leather_08,my_dataset_test_filtered\Leather_05\1750407204184.jpg
Frozen DINOv2 ViT-S/14,test,Leather_06,-0.26553017,0.14082424,True,Leather_06,my_dataset_test_filtered\Leather_06\1750407348067.jpg
Frozen DINOv2 ViT-S/14,test,Leather_07,-0.42978412,-0.05112618,True,Leather_07,my_dataset_test_filtered\Leather_07\1750407528243.jpg
Frozen DINOv2 ViT-S/14,test,Leather_08,-0.55454272,0.18009222,True,Leather_08,my_dataset_test_filtered\Leather_08\1750407629336.jpg
Frozen DINOv2 ViT-S/14,test,Leather_09,-0.24611247,-0.06090754,True,Leather_09,my_dataset_test_filtered\Leather_09\1750407738276.jpg
Frozen DINOv2 ViT-S/14,test,Leather_10,-0.45003712,0.15899356,True,Leather_10,my_dataset_test_filtered\Leather_10\1750408020242.jpg
Frozen DINOv2 ViT-S/14,test,Leather_100,0.16930011,0.09888691,True,Leather_100,my_dataset_test_filtered\Leather_100\1750488394024.jpg
Frozen DINOv2 ViT-S/14,test,Leather_101,-0.08551520,0.13747296,True,Leather_101,my_dataset_test_filtered\Leather_101\1750488471484.jpg
Frozen DINOv2 ViT-S/14,test,Leather_102,0.22346671,0.20949566,True,Leather_102,my_dataset_test_filtered\Leather_102\1750488520146.jpg
Frozen DINOv2 ViT-S/14,test,Leather_103,-0.07024972,0.19819090,True,Leather_103,my_dataset_test_filtered\Leather_103\1750488677028.jpg
Frozen DINOv2 ViT-S/14,test,Leather_104,0.08645456,-0.15399909,True,Leather_104,my_dataset_test_filtered\Leather_104\1750488725312.jpg
Frozen DINOv2 ViT-S/14,test,Leather_105,0.07486991,-0.20112871,True,Leather_105,my_dataset_test_filtered\Leather_105\1750488787557.jpg
Frozen DINOv2 ViT-S/14,test,Leather_106,0.19635405,0.09969295,True,Leather_106,my_dataset_test_filtered\Leather_106\1750488902223.jpg
Frozen DINOv2 ViT-S/14,test,Leather_107,0.16386347,-0.20329316,True,Leather_107,my_dataset_test_filtered\Leather_107\1750488972633.jpg
Frozen DINOv2 ViT-S/14,test,Leather_108,0.01557878,0.07776495,False,Leather_89,my_dataset_test_filtered\Leather_108\1750489023876.jpg
Frozen DINOv2 ViT-S/14,test,Leather_109,0.20025739,-0.07650529,True,Leather_109,my_dataset_test_filtered\Leather_109\1750489124023.jpg
Frozen DINOv2 ViT-S/14,test,Leather_11,-0.58261645,0.11095610,True,Leather_11,my_dataset_test_filtered\Leather_11\1750408197526.jpg
Frozen DINOv2 ViT-S/14,test,Leather_110,0.28551626,0.05331466,True,Leather_110,my_dataset_test_filtered\Leather_110\1750489176801.jpg
Frozen DINOv2 ViT-S/14,test,Leather_111,0.14083537,-0.10064562,True,Leather_111,my_dataset_test_filtered\Leather_111\1750489227871.jpg
Frozen DINOv2 ViT-S/14,test,Leather_112,0.30713052,0.17382473,True,Leather_112,my_dataset_test_filtered\Leather_112\1750489281422.jpg
Frozen DINOv2 ViT-S/14,test,Leather_113,0.26972026,0.21373199,True,Leather_113,my_dataset_test_filtered\Leather_113\1750489326154.jpg
Frozen DINOv2 ViT-S/14,test,Leather_114,0.22575134,0.14775598,True,Leather_114,my_dataset_test_filtered\Leather_114\1750489373490.jpg
Frozen DINOv2 ViT-S/14,test,Leather_115,0.23511125,0.15032181,True,Leather_115,my_dataset_test_filtered\Leather_115\1750489423499.jpg
Frozen DINOv2 ViT-S/14,test,Leather_116,0.07991354,0.16640219,True,Leather_116,my_dataset_test_filtered\Leather_116\1750489535803.jpg
Frozen DINOv2 ViT-S/14,test,Leather_117,0.20783265,-0.26343113,True,Leather_117,my_dataset_test_filtered\Leather_117\1750489573511.jpg
Frozen DINOv2 ViT-S/14,test,Leather_118,0.07029732,-0.56435901,True,Leather_118,my_dataset_test_filtered\Leather_118\1750489685912.jpg
Frozen DINOv2 ViT-S/14,test,Leather_119,-0.26194587,-0.05255576,True,Leather_119,my_dataset_test_filtered\Leather_119\1750489770436.jpg
Frozen DINOv2 ViT-S/14,test,Leather_12,-0.56949186,0.16815886,True,Leather_12,my_dataset_test_filtered\Leather_12\1750408284854.jpg
Frozen DINOv2 ViT-S/14,test,Leather_120,0.13786364,-0.50961947,True,Leather_120,my_dataset_test_filtered\Leather_120\1750489841717.jpg
Frozen DINOv2 ViT-S/14,test,Leather_121,0.25742388,-0.35886851,True,Leather_121,my_dataset_test_filtered\Leather_121\1750489889943.jpg
Frozen DINOv2 ViT-S/14,test,Leather_122,0.01894827,-0.42276335,True,Leather_122,my_dataset_test_filtered\Leather_122\1750489935897.jpg
Frozen DINOv2 ViT-S/14,test,Leather_123,-0.12277228,-0.34846222,True,Leather_123,my_dataset_test_filtered\Leather_123\1750489979959.jpg
Frozen DINOv2 ViT-S/14,test,Leather_124,-0.19842324,-0.12806539,True,Leather_124,my_dataset_test_filtered\Leather_124\1750490024511.jpg
Frozen DINOv2 ViT-S/14,test,Leather_125,0.32691264,0.43659058,True,Leather_125,my_dataset_test_filtered\Leather_125\1750490073084.jpg
Frozen DINOv2 ViT-S/14,test,Leather_126,0.32730553,0.44022644,True,Leather_126,my_dataset_test_filtered\Leather_126\1750490108402.jpg
Frozen DINOv2 ViT-S/14,test,Leather_127,0.24705628,0.38190460,True,Leather_127,my_dataset_test_filtered\Leather_127\1750490173529.jpg
Frozen DINOv2 ViT-S/14,test,Leather_128,0.36440066,0.48903131,True,Leather_128,my_dataset_test_filtered\Leather_128\1750490238549.jpg
Frozen DINOv2 ViT-S/14,test,Leather_129,0.34141469,0.41570881,True,Leather_129,my_dataset_test_filtered\Leather_129\1750490315532.jpg
Frozen DINOv2 ViT-S/14,test,Leather_13,-0.42215183,-0.09234199,True,Leather_13,my_dataset_test_filtered\Leather_13\1750408366776.jpg
Frozen DINOv2 ViT-S/14,test,Leather_130,0.22983992,0.30839217,True,Leather_130,my_dataset_test_filtered\Leather_130\1750490367912.jpg
Frozen DINOv2 ViT-S/14,test,Leather_131,0.26925281,0.24424863,True,Leather_131,my_dataset_test_filtered\Leather_131\1750490579280.jpg
Frozen DINOv2 ViT-S/14,test,Leather_132,0.24179140,0.25148076,True,Leather_132,my_dataset_test_filtered\Leather_132\1750490644319.jpg
Frozen DINOv2 ViT-S/14,test,Leather_133,0.38532883,0.35559440,True,Leather_133,my_dataset_test_filtered\Leather_133\1750490775257.jpg
Frozen DINOv2 ViT-S/14,test,Leather_134,0.27607155,0.43869555,True,Leather_134,my_dataset_test_filtered\Leather_134\1750490827975.jpg
Frozen DINOv2 ViT-S/14,test,Leather_135,0.32752401,0.44539419,True,Leather_135,my_dataset_test_filtered\Leather_135\1750490955532.jpg
Frozen DINOv2 ViT-S/14,test,Leather_136,0.41564715,0.19525823,True,Leather_136,my_dataset_test_filtered\Leather_136\1750491016516.jpg
Frozen DINOv2 ViT-S/14,test,Leather_137,0.25641441,0.44044349,True,Leather_137,my_dataset_test_filtered\Leather_137\1750491063276.jpg
Frozen DINOv2 ViT-S/14,test,Leather_138,0.24801196,0.35550928,True,Leather_138,my_dataset_test_filtered\Leather_138\1750491113039.jpg
Frozen DINOv2 ViT-S/14,test,Leather_139,0.37957776,-0.19172296,True,Leather_139,my_dataset_test_filtered\Leather_139\1750491172226.jpg
Frozen DINOv2 ViT-S/14,test,Leather_14,-0.46513936,-0.06166641,True,Leather_14,my_dataset_test_filtered\Leather_14\1750408447980.jpg
Frozen DINOv2 ViT-S/14,test,Leather_141,0.41646796,0.24156544,True,Leather_141,my_dataset_test_filtered\Leather_141\1750491343747.jpg
Frozen DINOv2 ViT-S/14,test,Leather_142,0.17997706,-0.19591093,True,Leather_142,my_dataset_test_filtered\Leather_142\1750491376753.jpg
Frozen DINOv2 ViT-S/14,test,Leather_143,0.37153679,0.41815537,True,Leather_143,my_dataset_test_filtered\Leather_143\1750491416883.jpg
Frozen DINOv2 ViT-S/14,test,Leather_144,0.19205698,-0.50311708,True,Leather_144,my_dataset_test_filtered\Leather_144\1750491458976.jpg
Frozen DINOv2 ViT-S/14,test,Leather_145,0.22133729,0.02722545,True,Leather_145,my_dataset_test_filtered\Leather_145\1750491505929.jpg
Frozen DINOv2 ViT-S/14,test,Leather_146,0.12772122,-0.33938605,True,Leather_146,my_dataset_test_filtered\Leather_146\1750491548136.jpg
Frozen DINOv2 ViT-S/14,test,Leather_147,0.03568609,-0.25472111,True,Leather_147,my_dataset_test_filtered\Leather_147\1750491588458.jpg
Frozen DINOv2 ViT-S/14,test,Leather_148,0.00094110,-0.46935380,True,Leather_148,my_dataset_test_filtered\Leather_148\1750491631763.jpg
Frozen DINOv2 ViT-S/14,test,Leather_149,0.16721876,0.11378115,True,Leather_149,my_dataset_test_filtered\Leather_149\1750491671545.jpg
Frozen DINOv2 ViT-S/14,test,Leather_15,-0.40584075,0.15358469,True,Leather_15,my_dataset_test_filtered\Leather_15\1750408503377.jpg
Frozen DINOv2 ViT-S/14,test,Leather_150,0.20117331,-0.51123083,True,Leather_150,my_dataset_test_filtered\Leather_150\1750491705037.jpg
Frozen DINOv2 ViT-S/14,test,Leather_151,-0.20061266,0.20641759,False,Leather_155,my_dataset_test_filtered\Leather_151\1750643059336.jpg
Frozen DINOv2 ViT-S/14,test,Leather_152,-0.42730325,0.16806304,True,Leather_152,my_dataset_test_filtered\Leather_152\1750643150581.jpg
Frozen DINOv2 ViT-S/14,test,Leather_153,-0.46315610,0.02696331,False,Leather_164,my_dataset_test_filtered\Leather_153\1750643340909.jpg
Frozen DINOv2 ViT-S/14,test,Leather_154,-0.56057125,-0.00911223,True,Leather_154,my_dataset_test_filtered\Leather_154\1750643441264.jpg
Frozen DINOv2 ViT-S/14,test,Leather_155,-0.11525384,0.26371622,True,Leather_155,my_dataset_test_filtered\Leather_155\1750643535877.jpg
Frozen DINOv2 ViT-S/14,test,Leather_156,-0.44591743,-0.01557644,True,Leather_156,my_dataset_test_filtered\Leather_156\1750643658280.jpg
Frozen DINOv2 ViT-S/14,test,Leather_157,-0.45400631,0.05236732,True,Leather_157,my_dataset_test_filtered\Leather_157\1750648997886.jpg
Frozen DINOv2 ViT-S/14,test,Leather_158,-0.29242998,-0.17008600,True,Leather_158,my_dataset_test_filtered\Leather_158\1750649068787.jpg
Frozen DINOv2 ViT-S/14,test,Leather_159,-0.47363222,0.13666226,True,Leather_159,my_dataset_test_filtered\Leather_159\1750649136357.jpg
Frozen DINOv2 ViT-S/14,test,Leather_16,-0.52211571,0.05704617,True,Leather_16,my_dataset_test_filtered\Leather_16\1750409233250.jpg
Frozen DINOv2 ViT-S/14,test,Leather_160,-0.52260303,-0.00444749,True,Leather_160,my_dataset_test_filtered\Leather_160\1750650791768.jpg
Frozen DINOv2 ViT-S/14,test,Leather_161,-0.57164299,-0.02906972,True,Leather_161,my_dataset_test_filtered\Leather_161\1750650924442.jpg
Frozen DINOv2 ViT-S/14,test,Leather_162,-0.46593583,0.11088030,True,Leather_162,my_dataset_test_filtered\Leather_162\1750651003357.jpg
Frozen DINOv2 ViT-S/14,test,Leather_163,-0.44241571,0.06496116,True,Leather_163,my_dataset_test_filtered\Leather_163\1750651063876.jpg
Frozen DINOv2 ViT-S/14,test,Leather_164,-0.34585106,0.09598111,False,Leather_161,my_dataset_test_filtered\Leather_164\1750651143283.jpg
Frozen DINOv2 ViT-S/14,test,Leather_165,-0.50323999,0.05550515,True,Leather_165,my_dataset_test_filtered\Leather_165\1750659409519.jpg
Frozen DINOv2 ViT-S/14,test,Leather_166,-0.45918903,-0.02495545,True,Leather_166,my_dataset_test_filtered\Leather_166\1750659306788.jpg
Frozen DINOv2 ViT-S/14,test,Leather_167,-0.49585468,0.10278843,True,Leather_167,my_dataset_test_filtered\Leather_167\1750659478698.jpg
Frozen DINOv2 ViT-S/14,test,Leather_168,-0.41264963,0.03595314,True,Leather_168,my_dataset_test_filtered\Leather_168\1750659573573.jpg
Frozen DINOv2 ViT-S/14,test,Leather_169,-0.31631780,-0.03023779,True,Leather_169,my_dataset_test_filtered\Leather_169\1750659659789.jpg
Frozen DINOv2 ViT-S/14,test,Leather_17,-0.44988158,0.07509920,True,Leather_17,my_dataset_test_filtered\Leather_17\1750409341603.jpg
Frozen DINOv2 ViT-S/14,test,Leather_170,-0.41390008,0.25537091,True,Leather_170,my_dataset_test_filtered\Leather_170\1750659728427.jpg
Frozen DINOv2 ViT-S/14,test,Leather_171,0.02671654,0.06164109,True,Leather_171,my_dataset_test_filtered\Leather_171\1750659800858.jpg
Frozen DINOv2 ViT-S/14,test,Leather_172,-0.14976932,0.13076346,True,Leather_172,my_dataset_test_filtered\Leather_172\1750659872148.jpg
Frozen DINOv2 ViT-S/14,test,Leather_173,-0.43799624,0.09838302,True,Leather_173,my_dataset_test_filtered\Leather_173\1750659979993.jpg
Frozen DINOv2 ViT-S/14,test,Leather_174,-0.31821644,0.27749789,True,Leather_174,my_dataset_test_filtered\Leather_174\1750660728450.jpg
Frozen DINOv2 ViT-S/14,test,Leather_175,-0.45783091,0.23987073,True,Leather_175,my_dataset_test_filtered\Leather_175\1750660827906.jpg
Frozen DINOv2 ViT-S/14,test,Leather_176,-0.21500450,0.15623689,True,Leather_176,my_dataset_test_filtered\Leather_176\1750660944224.jpg
Frozen DINOv2 ViT-S/14,test,Leather_177,-0.21503504,0.08020705,True,Leather_177,my_dataset_test_filtered\Leather_177\1750661060161.jpg
Frozen DINOv2 ViT-S/14,test,Leather_178,-0.15706101,-0.08539173,True,Leather_178,my_dataset_test_filtered\Leather_178\1750661159844.jpg
Frozen DINOv2 ViT-S/14,test,Leather_179,-0.43804228,0.00044774,True,Leather_179,my_dataset_test_filtered\Leather_179\1750661242878.jpg
Frozen DINOv2 ViT-S/14,test,Leather_18,-0.56604719,0.02427395,True,Leather_18,my_dataset_test_filtered\Leather_18\1750409468348.jpg
Frozen DINOv2 ViT-S/14,test,Leather_181,-0.27009967,0.20571704,True,Leather_181,my_dataset_test_filtered\Leather_181\1750661486082.jpg
Frozen DINOv2 ViT-S/14,test,Leather_182,-0.38022512,0.07046039,True,Leather_182,my_dataset_test_filtered\Leather_182\1750662101172.jpg
Frozen DINOv2 ViT-S/14,test,Leather_183,-0.45212436,0.05504721,True,Leather_183,my_dataset_test_filtered\Leather_183\1750662415812.jpg
Frozen DINOv2 ViT-S/14,test,Leather_184,-0.29964247,0.15928608,True,Leather_184,my_dataset_test_filtered\Leather_184\1750662571409.jpg
Frozen DINOv2 ViT-S/14,test,Leather_185,-0.24059926,-0.03546074,True,Leather_185,my_dataset_test_filtered\Leather_185\1750662660000.jpg
Frozen DINOv2 ViT-S/14,test,Leather_186,-0.37435025,0.01297642,True,Leather_186,my_dataset_test_filtered\Leather_186\1750662752578.jpg
Frozen DINOv2 ViT-S/14,test,Leather_187,-0.29021293,0.19592561,True,Leather_187,my_dataset_test_filtered\Leather_187\1750663815128.jpg
Frozen DINOv2 ViT-S/14,test,Leather_188,-0.41486770,0.17866150,True,Leather_188,my_dataset_test_filtered\Leather_188\1750663926595.jpg
Frozen DINOv2 ViT-S/14,test,Leather_189,-0.42961454,0.05473219,True,Leather_189,my_dataset_test_filtered\Leather_189\1750664130885.jpg
Frozen DINOv2 ViT-S/14,test,Leather_19,-0.29957604,0.12832668,False,Leather_167,my_dataset_test_filtered\Leather_19\1750409938648.jpg
Frozen DINOv2 ViT-S/14,test,Leather_190,-0.02495098,0.27103758,True,Leather_190,my_dataset_test_filtered\Leather_190\1750664331525.jpg
Frozen DINOv2 ViT-S/14,test,Leather_191,-0.20234086,0.07426408,True,Leather_191,my_dataset_test_filtered\Leather_191\1750664466727.jpg
Frozen DINOv2 ViT-S/14,test,Leather_192,-0.50038248,-0.09426399,True,Leather_192,my_dataset_test_filtered\Leather_192\1750664610693.jpg
Frozen DINOv2 ViT-S/14,test,Leather_193,-0.33232147,0.10418001,True,Leather_193,my_dataset_test_filtered\Leather_193\1750664722422.jpg
Frozen DINOv2 ViT-S/14,test,Leather_194,-0.55967659,0.06346277,True,Leather_194,my_dataset_test_filtered\Leather_194\1750664834503.jpg
Frozen DINOv2 ViT-S/14,test,Leather_195,-0.15676469,-0.09033470,True,Leather_195,my_dataset_test_filtered\Leather_195\1750664932917.jpg
Frozen DINOv2 ViT-S/14,test,Leather_196,-0.13062555,-0.17710835,True,Leather_196,my_dataset_test_filtered\Leather_196\1750665019021.jpg
Frozen DINOv2 ViT-S/14,test,Leather_197,-0.31726956,0.07050784,True,Leather_197,my_dataset_test_filtered\Leather_197\1750665774705.jpg
Frozen DINOv2 ViT-S/14,test,Leather_198,-0.10902588,-0.12085909,True,Leather_198,my_dataset_test_filtered\Leather_198\1750665866788.jpg
Frozen DINOv2 ViT-S/14,test,Leather_199,-0.32142025,-0.31312576,True,Leather_199,my_dataset_test_filtered\Leather_199\1750665947796.jpg
Frozen DINOv2 ViT-S/14,test,Leather_20,0.26929122,-0.00917353,True,Leather_20,my_dataset_test_filtered\Leather_20\1750470677619.jpg
Frozen DINOv2 ViT-S/14,test,Leather_200,-0.42493156,0.02945397,True,Leather_200,my_dataset_test_filtered\Leather_200\1750666016867.jpg
Frozen DINOv2 ViT-S/14,test,Leather_201,-0.27444845,-0.13607334,True,Leather_201,my_dataset_test_filtered\Leather_201\1750666106599.jpg
Frozen DINOv2 ViT-S/14,test,Leather_202,-0.44072345,-0.16497654,True,Leather_202,my_dataset_test_filtered\Leather_202\1750661667157.jpg
Frozen DINOv2 ViT-S/14,test,Leather_203,0.12516952,-0.13825658,True,Leather_203,my_dataset_test_filtered\Leather_203\1750474770355.jpg
Frozen DINOv2 ViT-S/14,test,Leather_21,0.46665293,0.12128039,True,Leather_21,my_dataset_test_filtered\Leather_21\1750470770553.jpg
Frozen DINOv2 ViT-S/14,test,Leather_22,0.37579295,0.15002933,True,Leather_22,my_dataset_test_filtered\Leather_22\1750471270864.jpg
Frozen DINOv2 ViT-S/14,test,Leather_23,0.21954161,-0.15946758,True,Leather_23,my_dataset_test_filtered\Leather_23\1750471349579.jpg
Frozen DINOv2 ViT-S/14,test,Leather_24,-0.39382678,-0.02345293,True,Leather_24,my_dataset_test_filtered\Leather_24\1750404868870.jpg
Frozen DINOv2 ViT-S/14,test,Leather_25,-0.45855856,-0.00207736,True,Leather_25,my_dataset_test_filtered\Leather_25\1750405296218.jpg
Frozen DINOv2 ViT-S/14,test,Leather_26,-0.39144599,-0.02723151,True,Leather_26,my_dataset_test_filtered\Leather_26\1750405534348.jpg
Frozen DINOv2 ViT-S/14,test,Leather_27,-0.38607109,0.05679978,True,Leather_27,my_dataset_test_filtered\Leather_27\1750409685638.jpg
Frozen DINOv2 ViT-S/14,test,Leather_28,-0.50015283,0.09673175,True,Leather_28,my_dataset_test_filtered\Leather_28\1750409789490.jpg
Frozen DINOv2 ViT-S/14,test,Leather_29,0.31547737,0.32481635,True,Leather_29,my_dataset_test_filtered\Leather_29\1750471438228.jpg
Frozen DINOv2 ViT-S/14,test,Leather_30,0.40063080,0.01814626,True,Leather_30,my_dataset_test_filtered\Leather_30\1750471530238.jpg
Frozen DINOv2 ViT-S/14,test,Leather_31,0.29350811,0.05530643,True,Leather_31,my_dataset_test_filtered\Leather_31\1750471605030.jpg
Frozen DINOv2 ViT-S/14,test,Leather_32,0.22856793,-0.01307835,True,Leather_32,my_dataset_test_filtered\Leather_32\1750471682491.jpg
Frozen DINOv2 ViT-S/14,test,Leather_33,0.41052136,0.17980793,False,Leather_34,my_dataset_test_filtered\Leather_33\1750471764013.jpg
Frozen DINOv2 ViT-S/14,test,Leather_34,0.37382561,0.10155278,True,Leather_34,my_dataset_test_filtered\Leather_34\1750471821479.jpg
Frozen DINOv2 ViT-S/14,test,Leather_35,0.34816840,0.08812241,True,Leather_35,my_dataset_test_filtered\Leather_35\1750472237638.png
Frozen DINOv2 ViT-S/14,test,Leather_36,0.36006644,0.04430483,True,Leather_36,my_dataset_test_filtered\Leather_36\1750472577788.jpg
Frozen DINOv2 ViT-S/14,test,Leather_37,0.38338977,-0.18699309,True,Leather_37,my_dataset_test_filtered\Leather_37\1750472664705.png
Frozen DINOv2 ViT-S/14,test,Leather_38,0.35474277,0.26214212,True,Leather_38,my_dataset_test_filtered\Leather_38\1750473300546.jpg
Frozen DINOv2 ViT-S/14,test,Leather_39,0.32514977,0.09973583,True,Leather_39,my_dataset_test_filtered\Leather_39\1750473140715.jpg
Frozen DINOv2 ViT-S/14,test,Leather_40,0.40090340,0.15550591,True,Leather_40,my_dataset_test_filtered\Leather_40\1750473354598.jpg
Frozen DINOv2 ViT-S/14,test,Leather_41,0.36367047,0.36936924,True,Leather_41,my_dataset_test_filtered\Leather_41\1750473418205.jpg
Frozen DINOv2 ViT-S/14,test,Leather_42,0.35974112,-0.06960409,True,Leather_42,my_dataset_test_filtered\Leather_42\1750473495687.jpg
Frozen DINOv2 ViT-S/14,test,Leather_43,0.24859725,-0.22609067,True,Leather_43,my_dataset_test_filtered\Leather_43\1750473554134.jpg
Frozen DINOv2 ViT-S/14,test,Leather_44,0.36775199,0.29987594,True,Leather_44,my_dataset_test_filtered\Leather_44\1750473677835.jpg
Frozen DINOv2 ViT-S/14,test,Leather_45,0.21366471,-0.20734298,True,Leather_45,my_dataset_test_filtered\Leather_45\1750473722987.jpg
Frozen DINOv2 ViT-S/14,test,Leather_46,0.23865145,0.06250480,True,Leather_46,my_dataset_test_filtered\Leather_46\1750473772180.jpg
Frozen DINOv2 ViT-S/14,test,Leather_47,0.27712685,-0.14587454,True,Leather_47,my_dataset_test_filtered\Leather_47\1750473860065.jpg
Frozen DINOv2 ViT-S/14,test,Leather_48,0.29031616,0.08165888,True,Leather_48,my_dataset_test_filtered\Leather_48\1750473923200.jpg
